date,open,high,low,close,volume
2003-05-05,1.12284,1.13009,1.12014,1.12774,1274222.4
2003-05-06,1.12728,1.14506,1.12723,1.14338,1279672.5
2003-05-07,1.14297,1.14438,1.13265,1.13647,1278008.6
2003-05-08,1.13605,1.15077,1.13006,1.14996,1265182.6
2003-05-09,1.14932,1.15366,1.14346,1.14877,1272916.5
2003-05-12,1.14888,1.16229,1.14888,1.15427,1270388.4
2003-05-13,1.15357,1.15739,1.1462,1.1512,1263821.0
2003-05-14,1.1512,1.1537,1.14667,1.1494,1277471.6
2003-05-15,1.14913,1.14967,1.13744,1.13847,1275857.4
2003-05-16,1.13775,1.15766,1.13675,1.15705,1274033.6
2003-05-19,1.16564,1.17353,1.16205,1.16566,1276461.0
2003-05-20,1.1652,1.17146,1.15998,1.17039,1278055.2
2003-05-21,1.16989,1.17437,1.1661,1.16716,1269671.4
2003-05-22,1.16654,1.17266,1.16181,1.16908,1276077.1
2003-05-23,1.16877,1.18363,1.16635,1.18236,1276165.4
2003-05-26,1.182,1.18744,1.17955,1.1866,1278312.8
2003-05-27,1.186,1.19286,1.18166,1.18258,1271915.8
2003-05-28,1.18191,1.18439,1.17037,1.17619,1276412.5
2003-05-29,1.17587,1.18998,1.16909,1.18803,1278349.0
2003-05-30,1.18757,1.19144,1.17419,1.17661,1272051.0
2003-06-02,1.17079,1.17652,1.16504,1.17443,1160226.1
2003-06-03,1.17426,1.17773,1.16858,1.17361,1270931.9
2003-06-04,1.17295,1.17463,1.16609,1.16615,1276120.6
2003-06-05,1.16565,1.1885,1.16273,1.18375,1280677.9
2003-06-06,1.18319,1.18772,1.16829,1.16971,1279083.8
2003-06-09,1.1687,1.17846,1.16548,1.17131,1274278.3
2003-06-10,1.17076,1.174,1.16692,1.16729,1269463.8
2003-06-11,1.16676,1.17805,1.16571,1.17391,1264178.7
2003-06-12,1.17359,1.18038,1.1702,1.17608,1267150.6
2003-06-13,1.17582,1.18758,1.17338,1.186,1279678.8
2003-06-16,1.18624,1.19263,1.18198,1.18326,1271366.1
2003-06-17,1.18316,1.18652,1.1767,1.17907,1265464.6
2003-06-18,1.17844,1.18016,1.16604,1.16853,1265660.5
2003-06-19,1.1677,1.17372,1.15826,1.17173,1266762.3
2003-06-20,1.1713,1.17333,1.15501,1.1601,1271527.8
2003-06-23,1.15955,1.16028,1.15069,1.15399,1267169.3
2003-06-24,1.15374,1.15801,1.1475,1.15141,1281097.1
2003-06-25,1.15118,1.16205,1.14897,1.15368,1274772.6
2003-06-26,1.15379,1.15509,1.14125,1.14151,1269716.2
2003-06-27,1.14145,1.14665,1.13984,1.14224,1271972.7
2003-06-30,1.14238,1.15121,1.13964,1.15086,1279420.6
2003-07-01,1.15084,1.16069,1.1501,1.15578,1275064.3
2003-07-02,1.15549,1.15668,1.15035,1.15366,1267163.0
2003-07-03,1.15345,1.15424,1.14316,1.14915,1276490.8
2003-07-04,1.14865,1.14999,1.14462,1.14862,1281812.5
2003-07-07,1.148,1.14854,1.13122,1.13222,1273294.4
2003-07-08,1.13177,1.13498,1.12577,1.13121,1258378.7
2003-07-09,1.13107,1.1365,1.13029,1.13451,1277843.7
2003-07-10,1.13409,1.13914,1.13085,1.13861,1267429.0
2003-07-11,1.13807,1.13887,1.12749,1.1296,1265165.5
2003-07-14,1.12864,1.1307,1.1241,1.12749,1269917.8
2003-07-15,1.12707,1.13358,1.1155,1.11828,1267433.9
2003-07-16,1.11775,1.12305,1.11113,1.12038,1272510.6
2003-07-17,1.12049,1.12477,1.11556,1.12049,1266504.8
2003-07-18,1.11975,1.13022,1.11701,1.12716,1278004.7
2003-07-21,1.12615,1.13526,1.12401,1.13465,1272058.6
2003-07-22,1.13391,1.13713,1.13044,1.13285,1254297.9
2003-07-23,1.13197,1.14882,1.13119,1.14724,1272355.2
2003-07-24,1.14765,1.15091,1.1422,1.14665,1268987.8
2003-07-25,1.14679,1.15477,1.14425,1.15049,1278273.3
2003-07-28,1.15014,1.15172,1.14511,1.14879,1276345.8
2003-07-29,1.14877,1.15365,1.14502,1.14559,1275433.5
2003-07-30,1.14502,1.146,1.13338,1.13396,1263519.4
2003-07-31,1.13367,1.13709,1.12222,1.12398,1266967.8
2003-08-01,1.1235,1.12706,1.11338,1.12531,1216925.2
2003-08-04,1.12773,1.13734,1.12564,1.1354,1272231.2
2003-08-05,1.13543,1.13966,1.13054,1.13863,1279489.5
2003-08-06,1.13797,1.1425,1.13238,1.13291,1270227.6
2003-08-07,1.13245,1.14138,1.13173,1.13702,1273274.2
2003-08-08,1.13646,1.13817,1.12861,1.13053,1261236.7
2003-08-11,1.13053,1.13788,1.12615,1.13552,1242761.9
2003-08-12,1.13518,1.13709,1.12745,1.128,1335296.7
2003-08-13,1.12767,1.13302,1.12169,1.1319,1354644.5
2003-08-14,1.13163,1.13365,1.12234,1.12547,1334944.7
2003-08-15,1.12565,1.12944,1.12396,1.12633,1301675.9
2003-08-18,1.1242,1.12675,1.11221,1.11398,1327518.6
2003-08-19,1.11415,1.1151,1.10534,1.11362,1342325.6
2003-08-20,1.1131,1.11462,1.10783,1.11155,1344872.8
2003-08-21,1.11123,1.11209,1.08826,1.09196,1346824.6
2003-08-22,1.09133,1.09445,1.0835,1.08731,1334104.7
2003-08-25,1.08496,1.09169,1.08443,1.08705,1343844.4
2003-08-26,1.0867,1.0908,1.07911,1.08512,1338102.3
2003-08-27,1.08474,1.09288,1.08303,1.0883,1340521.8
2003-08-28,1.08786,1.09114,1.08082,1.08781,1344437.3
2003-08-29,1.08773,1.09964,1.08678,1.09817,1348179.9
2003-09-01,1.09873,1.10125,1.09487,1.09645,1203066.6
